Date,Review,Rating,Sentiment_Label,Clean_Review
2020-10-24,dirty service and overpriced lighting,2,negative,dirty service and overpriced lighting
2020-04-29,noisy pricing and overpriced food,1,negative,noisy pricing and overpriced food
2019-08-30,perfect music and amazing cleanliness and affordable service,5,positive,perfect music and amazing cleanliness and affordable service
2023-07-24,affordable music and great service,4,positive,affordable music and great service
2022-11-20,affordable waiting time,4,positive,affordable waiting time
2023-04-29,overpriced lighting and dirty food,3,negative,overpriced lighting and dirty food
2023-11-15,great menu and amazing music,3,positive,great menu and amazing music
2023-05-07,perfect food and perfect ambience and friendly waiting time,4,positive,perfect food and perfect ambience and friendly waiting time
2022-03-09,friendly staff,3,positive,friendly staff
2022-06-13,noisy waiting time and overpriced food and rude staff,2,negative,noisy waiting time and overpriced food and rude staff
2024-04-21,relaxing music and delicious menu,5,positive,relaxing music and delicious menu
2024-10-03,long wait service and terrible staff and bad cleanliness,3,negative,long wait service and terrible staff and bad cleanliness
2024-10-07,hated the ambience and terrible menu and dirty lighting,2,negative,hated the ambience and terrible menu and dirty lighting
2024-08-27,relaxing staff and amazing waiting time,3,positive,relaxing staff and amazing waiting time
2022-12-30,great lighting,5,positive,great lighting
2021-05-30,perfect food,3,positive,perfect food
2022-02-19,loved the waiting time,4,positive,loved the waiting time
2020-02-14,The lighting and menu were okay.,3,neutral,the lighting and menu were okay
2021-01-01,poor staff,2,negative,poor staff
2020-12-21,loved the cleanliness and perfect service and quick staff,5,positive,loved the cleanliness and perfect service and quick staff
2019-08-10,relaxing waiting time and perfect lighting and perfect food,4,positive,relaxing waiting time and perfect lighting and perfect food
2024-03-11,quick cleanliness and delicious waiting time and friendly menu,5,positive,quick cleanliness and delicious waiting time and friendly menu
2024-02-02,outstanding pricing and delicious menu and outstanding food,5,positive,outstanding pricing and delicious menu and outstanding food
2021-10-16,poor lighting and dirty service and poor pricing,1,negative,poor lighting and dirty service and poor pricing
2024-09-05,loved the staff and relaxing lighting,4,positive,loved the staff and relaxing lighting
2020-08-05,perfect music and loved the ambience and great pricing,5,positive,perfect music and loved the ambience and great pricing
2023-07-27,outstanding service and amazing staff and relaxing ambience,5,positive,outstanding service and amazing staff and relaxing ambience
2020-12-08,relaxing music,3,positive,relaxing music
2021-07-20,dirty music,1,negative,dirty music
2023-09-04,loved the music,4,positive,loved the music
2023-06-26,The service and ambience were okay.,3,neutral,the service and ambience were okay
2024-09-06,amazing ambience and delicious menu and friendly cleanliness,5,positive,amazing ambience and delicious menu and friendly cleanliness
2022-10-24,rude cleanliness and bad service,3,negative,rude cleanliness and bad service
2019-09-23,perfect waiting time,3,positive,perfect waiting time
2019-08-08,The lighting and service were okay.,3,neutral,the lighting and service were okay
2021-12-18,hated the staff and long wait menu,1,negative,hated the staff and long wait menu
2019-05-12,quick service and friendly waiting time,5,positive,quick service and friendly waiting time
2022-01-18,delicious ambience and perfect pricing,3,positive,delicious ambience and perfect pricing
2021-08-11,dirty service and hated the menu,3,negative,dirty service and hated the menu
2023-12-07,relaxing service,5,positive,relaxing service
2022-03-29,outstanding ambience,3,positive,outstanding ambience
2020-05-19,terrible lighting,2,negative,terrible lighting
2020-08-29,outstanding waiting time and loved the music and relaxing cleanliness,5,positive,outstanding waiting time and loved the music and relaxing cleanliness
2019-07-19,long wait staff and bad waiting time and hated the service,2,negative,long wait staff and bad waiting time and hated the service
2022-02-28,quick cleanliness and outstanding staff,4,positive,quick cleanliness and outstanding staff
2024-12-05,friendly service,3,positive,friendly service
2024-10-09,great staff,4,positive,great staff
2019-04-17,quick cleanliness and delicious ambience,3,positive,quick cleanliness and delicious ambience
2023-01-29,overpriced cleanliness,1,negative,overpriced cleanliness
2024-11-02,perfect menu and amazing pricing and affordable lighting,3,positive,perfect menu and amazing pricing and affordable lighting
2021-07-28,rude ambience and overpriced music,2,negative,rude ambience and overpriced music
2022-03-15,loved the lighting and outstanding menu,5,positive,loved the lighting and outstanding menu
2019-08-26,great menu and affordable lighting,3,positive,great menu and affordable lighting
2019-05-17,loved the service and friendly cleanliness and amazing ambience,5,positive,loved the service and friendly cleanliness and amazing ambience
2021-10-14,hated the waiting time,2,negative,hated the waiting time
2022-07-25,noisy menu,2,negative,noisy menu
2024-11-09,slow staff and noisy cleanliness and hated the waiting time,2,negative,slow staff and noisy cleanliness and hated the waiting time
2023-12-06,relaxing ambience and perfect pricing and perfect music,4,positive,relaxing ambience and perfect pricing and perfect music
2024-05-26,The music and cleanliness were okay.,3,neutral,the music and cleanliness were okay
2024-06-14,The music and ambience were okay.,3,neutral,the music and ambience were okay
2023-11-24,friendly lighting and relaxing menu and outstanding cleanliness,5,positive,friendly lighting and relaxing menu and outstanding cleanliness
2020-04-28,overpriced cleanliness and slow staff and hated the menu,1,negative,overpriced cleanliness and slow staff and hated the menu
2022-07-06,relaxing food,5,positive,relaxing food
2019-07-17,quick menu and quick pricing and amazing cleanliness,3,positive,quick menu and quick pricing and amazing cleanliness
2020-10-24,long wait music and noisy food,2,negative,long wait music and noisy food
2022-08-06,quick ambience,3,positive,quick ambience
2020-06-14,The music and staff were okay.,3,neutral,the music and staff were okay
