Date,Review,Rating,Sentiment_Label,Clean_Review,Predicted_Label,Confidence
2020-04-25,dirty music and bad food and poor lighting,1,negative,dirty music and bad food and poor lighting,LABEL_0,0.9524729251861572
2019-08-27,friendly music and loved the service and loved the food,5,positive,friendly music and loved the service and loved the food,LABEL_2,0.9736667275428772
2022-03-30,affordable menu,3,positive,affordable menu,LABEL_1,0.5845792889595032
2019-02-05,noisy waiting time and hated the menu,2,negative,noisy waiting time and hated the menu,LABEL_0,0.9630200862884521
2021-09-21,rude cleanliness,1,negative,rude cleanliness,LABEL_0,0.5237459540367126
2019-02-17,loved the lighting and relaxing cleanliness,5,positive,loved the lighting and relaxing cleanliness,LABEL_2,0.9772318601608276
2023-02-05,The ambience and lighting were okay.,3,neutral,the ambience and lighting were okay,LABEL_2,0.9076153635978699
2024-08-17,delicious food and loved the ambience,5,positive,delicious food and loved the ambience,LABEL_2,0.9843103885650635
2024-05-26,The music and cleanliness were okay.,3,neutral,the music and cleanliness were okay,LABEL_2,0.9165180325508118
2022-03-17,perfect cleanliness and loved the music and perfect ambience,3,positive,perfect cleanliness and loved the music and perfect ambience,LABEL_2,0.9784115552902222
2022-11-08,The menu and pricing were okay.,3,neutral,the menu and pricing were okay,LABEL_2,0.896386981010437
2021-05-09,affordable waiting time and quick music,4,positive,affordable waiting time and quick music,LABEL_1,0.512652575969696
2023-05-02,relaxing lighting and friendly ambience,3,positive,relaxing lighting and friendly ambience,LABEL_2,0.907825767993927
2020-12-22,affordable staff and affordable food and delicious service,5,positive,affordable staff and affordable food and delicious service,LABEL_2,0.9415796995162964
2021-10-16,poor lighting and dirty service and poor pricing,1,negative,poor lighting and dirty service and poor pricing,LABEL_0,0.9433572292327881
2023-09-15,bad ambience and slow menu,3,negative,bad ambience and slow menu,LABEL_0,0.9031547904014587
2024-11-08,The lighting and cleanliness and menu were okay.,3,neutral,the lighting and cleanliness and menu were okay,LABEL_2,0.916167140007019
2021-07-04,outstanding staff and quick food and perfect ambience,5,positive,outstanding staff and quick food and perfect ambience,LABEL_2,0.9582469463348389
2023-04-16,perfect music and quick food and affordable pricing,4,positive,perfect music and quick food and affordable pricing,LABEL_2,0.9506164193153381
2023-02-08,great ambience and friendly cleanliness and delicious lighting,5,positive,great ambience and friendly cleanliness and delicious lighting,LABEL_2,0.9769185185432434
2023-12-22,great service and affordable staff,3,positive,great service and affordable staff,LABEL_2,0.9390345811843872
2023-05-05,affordable food and loved the music,4,positive,affordable food and loved the music,LABEL_2,0.9658567905426025
2021-11-09,outstanding service and great ambience and delicious menu,5,positive,outstanding service and great ambience and delicious menu,LABEL_2,0.9657853841781616
2021-02-18,relaxing cleanliness and friendly service and quick music,3,positive,relaxing cleanliness and friendly service and quick music,LABEL_2,0.9546780586242676
2019-01-21,dirty ambience and dirty pricing,2,negative,dirty ambience and dirty pricing,LABEL_0,0.8170666098594666
2023-12-09,outstanding menu and quick music and perfect lighting,5,positive,outstanding menu and quick music and perfect lighting,LABEL_2,0.9352399110794067
2019-05-01,perfect food and relaxing cleanliness,3,positive,perfect food and relaxing cleanliness,LABEL_2,0.9379819631576538
2020-11-03,friendly ambience and perfect food and outstanding staff,3,positive,friendly ambience and perfect food and outstanding staff,LABEL_2,0.9702642560005188
2021-04-29,friendly service and perfect cleanliness,4,positive,friendly service and perfect cleanliness,LABEL_2,0.9336919784545898
2023-04-25,slow service and overpriced music,2,negative,slow service and overpriced music,LABEL_0,0.9390004873275757
2022-04-15,poor pricing and noisy cleanliness and bad food,1,negative,poor pricing and noisy cleanliness and bad food,LABEL_0,0.9135947823524475
2021-07-01,slow ambience,3,negative,slow ambience,LABEL_1,0.7376489043235779
2023-03-14,outstanding staff and affordable music,4,positive,outstanding staff and affordable music,LABEL_2,0.8824372291564941
